,Dataset ID,latitude degrees_north,longitude degrees_east,sea_water_practical_salinity,sea_water_temperature,cdm_data_type,server
0,scalar_1194405,48.42740667,-126.17458500000001,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200616,48.42742912,-126.1745865,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,profile_118833,48.4273733333,-126.1741266667,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1190481,48.42738167,-126.174155,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,profile_1200308,48.427712833,-126.174076666,,,TimeSeriesProfile,http://dap.onc.uvic.ca/erddap
0,scalar_1203031,48.427372999999996,-126.1743,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1205223,48.427234000000006,-126.174295,,temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117767,48.31194,-126.0658816667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118361,48.311765,-126.0654833333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118870,48.3117433333,-126.0653783333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1190562,48.3118233333,-126.065496667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194113,48.31175,-126.06517833299999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117498,48.31198,-126.06612,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118362,48.311765,-126.0654833333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118873,48.3117433333,-126.0653783333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_117771,48.31194,-126.0658816667,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_118364,48.311765,-126.0654833333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194117,48.31175,-126.06517833299999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194118,48.31175,-126.06517833299999,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194852,69.11311666600001,-105.06408333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1191162,69.1137,-105.06081999999999,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192522,69.11306172609329,-105.0641604792327,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194846,69.11311666600001,-105.06408333,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1197305,69.1129,-105.06403,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200591,69.11289000000001,-105.06391,,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1203544,69.113183333,-105.0644,salinity,Temperature,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1192532,69.11306172609329,-105.0641604792327,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1194856,69.11311666600001,-105.06408333,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1197315,69.1129,-105.06403,,,TimeSeries,http://dap.onc.uvic.ca/erddap
0,scalar_1200576,69.11289000000001,-105.06391,,,TimeSeries,http://dap.onc.uvic.ca/erddap
